i alla tider (abm)	I alla tider har vi berättat historier för varandra. 
revolver (noun)	Man hittade även två kulor från en revolver nära mordplatsen. 
i allmänhet (abm)	Då har de i allmänhet levt ihop några år. 
a-kassa (noun)	Hur klarar du dig nu när du har a-kassa? 
rida (verb)	Jag red på en slags våg av säkerhet och kunde stoppa saker innanför jackan medan jag pratade med personalen. 
abdikation (noun)	Direkt efter abdikationen åkte jag söderut. 
abdikera (verb)	Den 6 juni 1654 abdikerade hon och reste genast utomlands. 
riddare (noun)	Anton och jag har lekt riddare hela dagen. 
i botten (abm)	Föraren blev naturligtvis livrädd och smällde igen bildörren och trampade gasen i botten. 
rike (noun)	du krona bland Svea rikes länder. 
riklig (adjective)	Den orsakas av för riklig tillförsel av framför allt kväve men också av fosfor. 
i det fria (abm)	Zorn målade gärna naket i det fria. 
acceptera (verb)	Jonas: Det är svårt för mig att acceptera att din före detta man ordnar ett nytt jobb åt dig. 
ack (interjection)	Ack, Värmeland du sköna 
i det hela (abm)	Men Petra börjar undra om det kanske finns ett system i det hela. 
i detalj (abm)	Inga ministrar får gå in och styra arbetet i detalj. 
riksförbund (noun)	RFSU: Riksförbundet för sexuell upplysning. 
adel (noun)	Genom statskuppen hade adeln förlorat sina privilegier och var mycket missnöjd. 
adelsfamilj (noun)	Rika adelsfamiljer anställde sockerbagarna och man såg dem mer eller mindre som fria konstnärer. 
i fjol (abm)	Men i fjol var vi inte där för vi bodde utomlands då. 
adelsman (noun)	En grupp adelsmän, som hade blivit inspirerade av franska revolutionen, planerade därför att döda kungen. 
i fjärran (abm)	Inte ett ljud hörs utom en ugglas hoande i fjärran. 
rikssvensk (adjective)	Vi talar rikssvenska också. 
administration (noun)	Jag undrar hur mycket kontakt hon har med gästerna och om det är mycket administration. 
administrativ (adjective)	Idag har de ingen administrativ funktion längre, men de betyder fortfarande mycket för en persons identitet. 
adoptera (verb)	Vi har adopterat en liten flicka från Bangladesh. 
i fråga (abm)	Jag hade helt enkelt inte råd att resa till landet i fråga, säger författaren i ett uttalande. 
rimlig (adjective)	Du vill ha 28 000 kronor i månaden (före skatt) och tror att det är rimligt. 
ringa upp (vbm)	Han ringer upp en polis, Åsa Sandström, för att göra en intervju med henne. 
ringmur (noun)	På andra plats kom Visby ringmur, det enda av de sju underverken som är med på Unescos världsarvslista. 
