i andra hand (abm)	Om man inte har ett eget hyreskontrakt kan man hyra en lägenhet i andra hand. 
absolut (adverb)	Nej, och inte duktigast heller, och absolut inte intelligentast, för det är jag! 
rik (adjective)	och är varken glad eller rik 
riksdag (noun)	1988 röstades partiet in i riksdagen, 1991 åkte det ur för att sedan komma tillbaka 1994. 
riksdagsledamot (noun)	Senast 15 juni stänger man riksdagen och riksdagsledamöterna tar ett långt sommarlov ... 
riksdagsman (noun)	Av riksdagens 349 riksdagsmän var 153 kvinnor (1999/00). 
riksdagsparti (noun)	Kristdemokraterna (kd) har sedan valet 1991 varit ett riksdagsparti. 
riksdagsval (noun)	Förutom riksdagsval kan man ha folkomröstningar i Sverige: 
adjektiv (noun)	Några pojkar i klassen kunde inte förstå skillnaden mellan substantiv, adjektiv och verb. 
i form (jjm)	Även förvåning kan ibland uttryckas i form av en svordom, t ex Det var som fan! 
adjö (interjection)	Vi måste säga adjö till våra stora, starka och törstiga bilar. 
i framtiden (abm)	Kanske doktorerar jag i framtiden. 
i fred (abm)	Gå härifrån och lämna mig i fred! 
i förrgår (abm)	I förrgår åkte hon till universitetet och sedan var hon jättetrött. 
ring (noun)	Efter några dagar lämnade Eva tillbaka ringen. 
adventsljusstake (noun)	Tänder adventsljusstaken i december. 
ringa (adjective)	I praktiken hindrar denna typ av fel i ganska ringa grad förståelsen. 
advokatbyrå (noun)	Nu är jag färdig jurist och jobbar på en advokatbyrå. 
affisch (noun)	Taklampan hänger han i taket och affischerna sätter han upp på väggen. 
ris (noun)	Ali tänker servera typisk tunisisk mat: mycket fårkött, ris, bönor och grönsaker. 
affärsidé (noun)	Han hade en ny affärsidé. 
risk (noun)	Det behöver dock inte vara själva risken som lockar, utan upplevelsen. 
i höstas (abm)	Urban: Förresten ... jag var i Rom i höstas och träffade Tommy. 
affärsman (noun)	Ett par kinesiska affärsmän väntade på henne, så hon måste ta en taxi. 
i livet (jjm)	Vi gör alla små och stora val i livet. 
rivstart (noun)	När du kommer till slutet av Rivstart kan du börja använda en enspråkig ordbok. 
i lördags (abm)	I lördags sålde man en tavla för 1,5 miljoner på auktionshuset i Uppsala. 
ro (noun)	jag sett skördarna gro på min torva i ro, 
roa sig (vbm)	Vasamuseet, Skansen och roar sig på Gröna Lund eller promenerar på de smala gatorna i Gamla Stan. 
robot (noun)	I framtiden kommer robotar att göra allt tråkigt arbete. 
i morse (abm)	I morse såg jag en kille på gatan. 
rockgrupp (noun)	Specialitet: chiliöl och chilitequila Vår mexikanska rockgrupp spelarl 
i måndags (abm)	Köparen var mycket nöjd, men i måndags meddelade en expert på Nationalmuseet att tavlan inte är av Zorn. 
i natt (abm)	I natt jag drömde något som 
roll (noun)	I det ögonblicket spelar det ingen roll. 
i ordning (jjm)	Syster, gör i ordning en bedövningsspruta. 
aktuell (adjective)	Den frågan är fortfarande mycket aktuell. 
romantisk (adjective)	Det var så vackert och romantiskt. 
i schack (abm)	Erik är på gott humör, för Daniel låter honom nästan alltid vinna i schack. 
romsås (noun)	Mona: En stekt lax med ris och romsås tack. 
i sin (jjm)	Alfreds farfars farfar bytte till namnet Nobelius och Alfreds far bytte i sin tur till Nobel. 
rop (noun)	När ropet: pappa kommer! 
alg (noun)	Algen är släkt med kon. 
alkohol (noun)	Det är regeringen som bestämmer priset på alkohol. 
rosmarin (noun)	— Jag ska äta lamm med vitlök och rosmarin. 
i stort sett (abm)	Utan att skryta måste jag säga att jag köper i stort sett allt jag vill. 
alldeles (adverb)	Släktingar har en alldeles särskild plats i vänkretsen, säger Dunbar. 
i stället för (ppm)	Det kanske lönar sig att stanna och ta sig en funderare i stället för att försöka läsa kartan springande. 
i så fall (abm)	Det skulle i så fall vara ärtsoppa och pannkakor 
allmän (adjective)	Vi fick obligatorisk allmän tilläggspension = ATP. 
i söndags (abm)	I söndags följde hon inte med på bio, utan hon var hemma hela dagen. 
i taget (abm)	Han masserade en fot i taget och klämde och tryckte. 
rubrik (noun)	I hennes arbete ingår att välja bilder, skriva bildtexter, sätta rubriker och planera tidningens sidor. 
i tid (abm)	måste du komma i tid. 
rulla (verb)	Nästa morgon vaknar hon klockan åtta, och efter en halvtimme rullar tåget in på Kiruna järnvägsstation. 
alls (adverb)	Ibland är man trött, och ibland fungerar ingenting alls. 
allting (prounoun)	Han parkerar bilen utanför porten och bär tillsammans med en kamrat upp allting och ställer det i korridoren. 
i övermorgon (abm)	H: I övermorgon då? 
allvarlig (adjective)	Du ser så allvarlig ut. 
runt (pl)	Vi går in, tar en korg och går runt och tittar på alla varor och priser. 
runt (preposition)	Träffar familjen, går en promenad runt Djurgården (Stockholm) och äter svensk mat. 
runt omkring (ppm)	Runt omkring står träden svarta och tigande. 
alternativ (noun)	Om man vill bo i lägenhet, finns det olika alternativ. 
ambassad (noun)	Han arbetar på ambassaden i London. 
rutig (adjective)	Kvinnan till höger har en rutig sjal på huvudet. 
identitet (noun)	En människa har flera identiteter, de är motsägelsefulla och ständigt i rörelse. 
ideologi (noun)	Miljöpartiet De Gröna (mp) har en decentralistisk ideologi, där samspelet mellan människa och natur är viktigt. 
rycka in (vbm)	I augusti 1707 ryckte den svenske kungen, den 27-årige Karl XII, in i Ryssland. 
rygg (noun)	Nästa morgon hade vi mycket ont i ryggen och axlarna, men vi åkte vidare ändå. 
idrottsförening (noun)	Ar 1796 startade Sveriges första idrottsförening, Uppsala simsällskap. 
idrottslärare (noun)	Han har jobbat som idrottslärare i skolan i många år. 
rymdforskningsstation (noun)	Hans flickvän, Lena, är astronom på Esrange, rymdforskningsstationen. 
andas in (vbm)	Andas in ... och ut ... En gång till. 
andas ut (vbm)	Andas in ... och ut ... En gång till. 
idé (noun)	Fast att helt avstå från nötkött är ingen bra idé, tycker de två forskarna. 
ifrån (preposition)	Älgkalven väger cirka 10 kg när den föds och efter en vecka orkar den springa ifrån en människa. 
andrahandskontrakt (noun)	Torbjörn: Nej, jag vill inte ha något andrahandskontrakt. 
igloo (noun)	Några besökare sov över i igloon och de tyckte att det var fantastiskt. 
räcka (verb)	Och när de pengarna inte räckte lånade hon en halv miljon till. 
igår (adverb)	Hon såg dig utanför Grand igår kväll. 
ihjäl (pl)	Arbeta inte ihjäl dig! 
rädd (adjective)	Därför var sjömännen rädda för en så lång resa. 
ihop (pl)	Plockar ihop sina saker och blänger på mig. 
räddningsman (noun)	Det kan vara yrken som flygplatsbrandman, linjereparatör eller räddningsman. 
ikväll (adverb)	Kunden: Nej, jag ska ha lite räkor till ikväll. 
illa (adverb)	Värst utsatta är förstås de som ligger vid ån. 
räkna (verb)	förvirrad av att räkna havets böljor. 
imitera (verb)	Imitera folk tyst för dig själv. 
ränta (noun)	I går meddelade Riksbanken att man höjer räntan med 1 procent. 
imorse (adverb)	Men jag pratade med Mia imorse. 
ankomst (noun)	Den 30 april firar nian vårens ankomst. 
